"order_number","new_discount_rate","discount_rate_application"
"10257","5%","APPLY_OLD_DISCOUNT_RATE"
"10709","5%","APPLY_OLD_DISCOUNT_RATE"
"10658","5%","APPLY_OLD_DISCOUNT_RATE"
"10513","5%","APPLY_OLD_DISCOUNT_RATE"
"10411","0%","APPLY_OLD_DISCOUNT_RATE"
"10342","5%","APPLY_OLD_DISCOUNT_RATE"
"10830","5%","APPLY_OLD_DISCOUNT_RATE"
"10530","5%","APPLY_OLD_DISCOUNT_RATE"
"10933","5%","APPLY_OLD_DISCOUNT_RATE"
"10333","0%","APPLY_OLD_DISCOUNT_RATE"
"10629","10%","APPLY_OLD_DISCOUNT_RATE"
"10372","15%","APPLY_OLD_DISCOUNT_RATE"
"10596","0%","APPLY_OLD_DISCOUNT_RATE"
"10637","0%","APPLY_OLD_DISCOUNT_RATE"
"10337","5%","APPLY_OLD_DISCOUNT_RATE"
"10594","0%","APPLY_OLD_DISCOUNT_RATE"
"10347","0%","APPLY_OLD_DISCOUNT_RATE"
"10480","0%","APPLY_OLD_DISCOUNT_RATE"
"10673","0%","APPLY_OLD_DISCOUNT_RATE"
"10303","5%","APPLY_OLD_DISCOUNT_RATE"
"10705","0%","APPLY_OLD_DISCOUNT_RATE"
"10895","10%","APPLY_OLD_DISCOUNT_RATE"
"10762","5%","APPLY_OLD_DISCOUNT_RATE"
"10722","0%","APPLY_OLD_DISCOUNT_RATE"
"10579","0%","APPLY_OLD_DISCOUNT_RATE"
"11064","10%","APPLY_NEW_DISCOUNT_RATE"
"11066","0%","APPLY_NEW_DISCOUNT_RATE"
"10871","0%","APPLY_OLD_DISCOUNT_RATE"
"10340","0%","APPLY_OLD_DISCOUNT_RATE"
"10616","5%","APPLY_OLD_DISCOUNT_RATE"
"10546","5%","APPLY_OLD_DISCOUNT_RATE"
"10713","5%","APPLY_OLD_DISCOUNT_RATE"
"10944","0%","APPLY_OLD_DISCOUNT_RATE"
"10773","0%","APPLY_OLD_DISCOUNT_RATE"
"10922","0%","APPLY_OLD_DISCOUNT_RATE"
"10849","5%","APPLY_OLD_DISCOUNT_RATE"
"10356","5%","APPLY_OLD_DISCOUNT_RATE"
"10650","5%","APPLY_OLD_DISCOUNT_RATE"
"11023","0%","APPLY_NEW_DISCOUNT_RATE"
"10535","5%","APPLY_OLD_DISCOUNT_RATE"
"10893","10%","APPLY_OLD_DISCOUNT_RATE"
"10794","0%","APPLY_OLD_DISCOUNT_RATE"
"10707","5%","APPLY_OLD_DISCOUNT_RATE"
"10813","0%","APPLY_OLD_DISCOUNT_RATE"
"10436","5%","APPLY_OLD_DISCOUNT_RATE"
"10275","0%","APPLY_OLD_DISCOUNT_RATE"
"10733","0%","APPLY_OLD_DISCOUNT_RATE"
"10415","0%","APPLY_OLD_DISCOUNT_RATE"
"10688","0%","APPLY_OLD_DISCOUNT_RATE"
"10688","10%","APPLY_OLD_DISCOUNT_RATE"
"10848","0%","APPLY_OLD_DISCOUNT_RATE"
"10519","5%","APPLY_OLD_DISCOUNT_RATE"
"10925","5%","APPLY_OLD_DISCOUNT_RATE"
"10903","0%","APPLY_OLD_DISCOUNT_RATE"
"11050","5%","APPLY_NEW_DISCOUNT_RATE"
"10418","5%","APPLY_OLD_DISCOUNT_RATE"
"10637","5%","APPLY_OLD_DISCOUNT_RATE"
"10790","0%","APPLY_OLD_DISCOUNT_RATE"
"10901","5%","APPLY_OLD_DISCOUNT_RATE"
"10788","5%","APPLY_OLD_DISCOUNT_RATE"
"10430","0%","APPLY_OLD_DISCOUNT_RATE"
"10930","0%","APPLY_OLD_DISCOUNT_RATE"
"10476","0%","APPLY_OLD_DISCOUNT_RATE"
"10855","0%","APPLY_OLD_DISCOUNT_RATE"
"10602","0%","APPLY_OLD_DISCOUNT_RATE"
"11011","5%","APPLY_NEW_DISCOUNT_RATE"
"10724","5%","APPLY_OLD_DISCOUNT_RATE"
"10740","5%","APPLY_OLD_DISCOUNT_RATE"
"10422","0%","APPLY_OLD_DISCOUNT_RATE"
"10459","0%","APPLY_OLD_DISCOUNT_RATE"
"10349","0%","APPLY_OLD_DISCOUNT_RATE"
"11077","0%","APPLY_NEW_DISCOUNT_RATE"
"10681","0%","APPLY_OLD_DISCOUNT_RATE"
"10575","0%","APPLY_OLD_DISCOUNT_RATE"
"10856","0%","APPLY_OLD_DISCOUNT_RATE"
"10580","0%","APPLY_OLD_DISCOUNT_RATE"
"11039","5%","APPLY_NEW_DISCOUNT_RATE"
"10377","5%","APPLY_OLD_DISCOUNT_RATE"
"10893","5%","APPLY_OLD_DISCOUNT_RATE"
"10563","5%","APPLY_OLD_DISCOUNT_RATE"
"10507","0%","APPLY_OLD_DISCOUNT_RATE"
"10553","0%","APPLY_OLD_DISCOUNT_RATE"
"10325","0%","APPLY_OLD_DISCOUNT_RATE"
"10575","5%","APPLY_OLD_DISCOUNT_RATE"
"11012","5%","APPLY_NEW_DISCOUNT_RATE"
"10464","0%","APPLY_OLD_DISCOUNT_RATE"
"10305","10%","APPLY_OLD_DISCOUNT_RATE"
"10749","5%","APPLY_OLD_DISCOUNT_RATE"
"10333","5%","APPLY_OLD_DISCOUNT_RATE"
"10638","5%","APPLY_OLD_DISCOUNT_RATE"
"10425","0%","APPLY_OLD_DISCOUNT_RATE"
"10257","0%","APPLY_OLD_DISCOUNT_RATE"
"10407","0%","APPLY_OLD_DISCOUNT_RATE"
"10307","0%","APPLY_OLD_DISCOUNT_RATE"
"11064","0%","APPLY_NEW_DISCOUNT_RATE"
"10593","0%","APPLY_OLD_DISCOUNT_RATE"
"10282","0%","APPLY_OLD_DISCOUNT_RATE"
"10502","5%","APPLY_OLD_DISCOUNT_RATE"
"10863","0%","APPLY_OLD_DISCOUNT_RATE"
"10817","5%","APPLY_OLD_DISCOUNT_RATE"
"10444","0%","APPLY_OLD_DISCOUNT_RATE"
"10330","5%","APPLY_OLD_DISCOUNT_RATE"
"10811","5%","APPLY_OLD_DISCOUNT_RATE"
"10412","0%","APPLY_OLD_DISCOUNT_RATE"
"10924","0%","APPLY_OLD_DISCOUNT_RATE"
"10952","0%","APPLY_OLD_DISCOUNT_RATE"
"10380","5%","APPLY_OLD_DISCOUNT_RATE"
"11005","0%","APPLY_NEW_DISCOUNT_RATE"
"10982","5%","APPLY_OLD_DISCOUNT_RATE"
"10800","0%","APPLY_OLD_DISCOUNT_RATE"
"10514","10%","APPLY_OLD_DISCOUNT_RATE"
"10644","0%","APPLY_OLD_DISCOUNT_RATE"
"10401","0%","APPLY_OLD_DISCOUNT_RATE"
"10990","5%","APPLY_OLD_DISCOUNT_RATE"
"10997","5%","APPLY_OLD_DISCOUNT_RATE"
"10395","5%","APPLY_OLD_DISCOUNT_RATE"
"10949","0%","APPLY_OLD_DISCOUNT_RATE"
"10567","0%","APPLY_OLD_DISCOUNT_RATE"
"10303","0%","APPLY_OLD_DISCOUNT_RATE"
"11048","5%","APPLY_NEW_DISCOUNT_RATE"
"10932","5%","APPLY_OLD_DISCOUNT_RATE"
"10983","0%","APPLY_OLD_DISCOUNT_RATE"
"10342","0%","APPLY_OLD_DISCOUNT_RATE"
"10305","5%","APPLY_OLD_DISCOUNT_RATE"
"10470","5%","APPLY_OLD_DISCOUNT_RATE"
"10817","10%","APPLY_OLD_DISCOUNT_RATE"
"10388","0%","APPLY_OLD_DISCOUNT_RATE"
"10332","5%","APPLY_OLD_DISCOUNT_RATE"
"10656","0%","APPLY_OLD_DISCOUNT_RATE"
"10729","5%","APPLY_OLD_DISCOUNT_RATE"
"10321","0%","APPLY_OLD_DISCOUNT_RATE"
"10768","5%","APPLY_OLD_DISCOUNT_RATE"
"10751","0%","APPLY_OLD_DISCOUNT_RATE"
"10963","0%","APPLY_OLD_DISCOUNT_RATE"
"10508","0%","APPLY_OLD_DISCOUNT_RATE"
"10742","5%","APPLY_OLD_DISCOUNT_RATE"
"10526","5%","APPLY_OLD_DISCOUNT_RATE"
"10670","0%","APPLY_OLD_DISCOUNT_RATE"
"10976","5%","APPLY_OLD_DISCOUNT_RATE"
"10631","0%","APPLY_OLD_DISCOUNT_RATE"
"10956","5%","APPLY_OLD_DISCOUNT_RATE"
"10936","5%","APPLY_OLD_DISCOUNT_RATE"
"11024","5%","APPLY_NEW_DISCOUNT_RATE"
"10486","0%","APPLY_OLD_DISCOUNT_RATE"
"10782","0%","APPLY_OLD_DISCOUNT_RATE"
"10841","0%","APPLY_OLD_DISCOUNT_RATE"
"10360","0%","APPLY_OLD_DISCOUNT_RATE"
"10612","10%","APPLY_OLD_DISCOUNT_RATE"
"10745","10%","APPLY_OLD_DISCOUNT_RATE"
"10467","0%","APPLY_OLD_DISCOUNT_RATE"
"10418","0%","APPLY_OLD_DISCOUNT_RATE"
"10836","0%","APPLY_OLD_DISCOUNT_RATE"
"10872","5%","APPLY_OLD_DISCOUNT_RATE"
"10697","0%","APPLY_OLD_DISCOUNT_RATE"
"10329","0%","APPLY_OLD_DISCOUNT_RATE"
"10510","0%","APPLY_OLD_DISCOUNT_RATE"
"10426","0%","APPLY_OLD_DISCOUNT_RATE"
"10728","5%","APPLY_OLD_DISCOUNT_RATE"
"10760","5%","APPLY_OLD_DISCOUNT_RATE"
"10666","0%","APPLY_OLD_DISCOUNT_RATE"
"10267","5%","APPLY_OLD_DISCOUNT_RATE"
"10263","0%","APPLY_OLD_DISCOUNT_RATE"
"10688","5%","APPLY_OLD_DISCOUNT_RATE"
"10469","0%","APPLY_OLD_DISCOUNT_RATE"
"10304","0%","APPLY_OLD_DISCOUNT_RATE"
"10345","5%","APPLY_OLD_DISCOUNT_RATE"
"10525","0%","APPLY_OLD_DISCOUNT_RATE"
"10714","0%","APPLY_OLD_DISCOUNT_RATE"
"11022","5%","APPLY_NEW_DISCOUNT_RATE"
"10414","0%","APPLY_OLD_DISCOUNT_RATE"
"10899","0%","APPLY_OLD_DISCOUNT_RATE"
"10507","5%","APPLY_OLD_DISCOUNT_RATE"
"10674","0%","APPLY_OLD_DISCOUNT_RATE"
"10802","0%","APPLY_OLD_DISCOUNT_RATE"
"10557","0%","APPLY_OLD_DISCOUNT_RATE"
"10993","10%","APPLY_OLD_DISCOUNT_RATE"
"10865","15%","APPLY_OLD_DISCOUNT_RATE"
"10636","5%","APPLY_OLD_DISCOUNT_RATE"
"10687","0%","APPLY_OLD_DISCOUNT_RATE"
"10475","0%","APPLY_OLD_DISCOUNT_RATE"
"10463","0%","APPLY_OLD_DISCOUNT_RATE"
"10382","5%","APPLY_OLD_DISCOUNT_RATE"
"10837","5%","APPLY_OLD_DISCOUNT_RATE"
"10618","0%","APPLY_OLD_DISCOUNT_RATE"
"10314","0%","APPLY_OLD_DISCOUNT_RATE"
"10324","10%","APPLY_OLD_DISCOUNT_RATE"
"10337","0%","APPLY_OLD_DISCOUNT_RATE"
"10783","5%","APPLY_OLD_DISCOUNT_RATE"
"10318","0%","APPLY_OLD_DISCOUNT_RATE"
"10841","5%","APPLY_OLD_DISCOUNT_RATE"
"10255","5%","APPLY_OLD_DISCOUNT_RATE"
"10616","10%","APPLY_OLD_DISCOUNT_RATE"
"10285","5%","APPLY_OLD_DISCOUNT_RATE"
"10929","5%","APPLY_OLD_DISCOUNT_RATE"
"10731","5%","APPLY_OLD_DISCOUNT_RATE"
"10790","5%","APPLY_OLD_DISCOUNT_RATE"
"10299","0%","APPLY_OLD_DISCOUNT_RATE"
"10601","5%","APPLY_OLD_DISCOUNT_RATE"
"10565","5%","APPLY_OLD_DISCOUNT_RATE"
"11031","0%","APPLY_NEW_DISCOUNT_RATE"
"10608","5%","APPLY_OLD_DISCOUNT_RATE"
"10802","5%","APPLY_OLD_DISCOUNT_RATE"
"10302","5%","APPLY_OLD_DISCOUNT_RATE"
"10478","5%","APPLY_OLD_DISCOUNT_RATE"
"10252","10%","APPLY_OLD_DISCOUNT_RATE"
"10786","5%","APPLY_OLD_DISCOUNT_RATE"
"10514","5%","APPLY_OLD_DISCOUNT_RATE"
"10737","0%","APPLY_OLD_DISCOUNT_RATE"
"10944","5%","APPLY_OLD_DISCOUNT_RATE"
"10339","5%","APPLY_OLD_DISCOUNT_RATE"
"10908","0%","APPLY_OLD_DISCOUNT_RATE"
"10487","0%","APPLY_OLD_DISCOUNT_RATE"
"10813","5%","APPLY_OLD_DISCOUNT_RATE"
"10781","5%","APPLY_OLD_DISCOUNT_RATE"
"11055","5%","APPLY_NEW_DISCOUNT_RATE"
"10985","5%","APPLY_OLD_DISCOUNT_RATE"
"10704","0%","APPLY_OLD_DISCOUNT_RATE"
"10873","0%","APPLY_OLD_DISCOUNT_RATE"
"10273","0%","APPLY_OLD_DISCOUNT_RATE"
"10289","0%","APPLY_OLD_DISCOUNT_RATE"
"10866","0%","APPLY_OLD_DISCOUNT_RATE"
"10837","0%","APPLY_OLD_DISCOUNT_RATE"
"10630","5%","APPLY_OLD_DISCOUNT_RATE"
"10923","5%","APPLY_OLD_DISCOUNT_RATE"
"10353","0%","APPLY_OLD_DISCOUNT_RATE"
"10540","5%","APPLY_OLD_DISCOUNT_RATE"
"10645","5%","APPLY_OLD_DISCOUNT_RATE"
"10446","0%","APPLY_OLD_DISCOUNT_RATE"
"10892","10%","APPLY_OLD_DISCOUNT_RATE"
"10781","0%","APPLY_OLD_DISCOUNT_RATE"
"10776","0%","APPLY_OLD_DISCOUNT_RATE"
"10647","0%","APPLY_OLD_DISCOUNT_RATE"
"11027","0%","APPLY_NEW_DISCOUNT_RATE"
"10916","0%","APPLY_OLD_DISCOUNT_RATE"
"10671","5%","APPLY_OLD_DISCOUNT_RATE"
"10988","5%","APPLY_OLD_DISCOUNT_RATE"
"10784","0%","APPLY_OLD_DISCOUNT_RATE"
"11003","0%","APPLY_NEW_DISCOUNT_RATE"
"10283","0%","APPLY_OLD_DISCOUNT_RATE"
"10488","0%","APPLY_OLD_DISCOUNT_RATE"
"10600","5%","APPLY_OLD_DISCOUNT_RATE"
"10938","0%","APPLY_OLD_DISCOUNT_RATE"
"10954","5%","APPLY_OLD_DISCOUNT_RATE"
"10607","10%","APPLY_OLD_DISCOUNT_RATE"
"10567","10%","APPLY_OLD_DISCOUNT_RATE"
"10700","0%","APPLY_OLD_DISCOUNT_RATE"
"10596","5%","APPLY_OLD_DISCOUNT_RATE"
"10931","0%","APPLY_OLD_DISCOUNT_RATE"
"11057","0%","APPLY_NEW_DISCOUNT_RATE"
"10429","5%","APPLY_OLD_DISCOUNT_RATE"
"10294","5%","APPLY_OLD_DISCOUNT_RATE"
"10830","0%","APPLY_OLD_DISCOUNT_RATE"
"10549","5%","APPLY_OLD_DISCOUNT_RATE"
"10864","0%","APPLY_OLD_DISCOUNT_RATE"
"10498","5%","APPLY_OLD_DISCOUNT_RATE"
"10403","0%","APPLY_OLD_DISCOUNT_RATE"
"10267","10%","APPLY_OLD_DISCOUNT_RATE"
"10667","5%","APPLY_OLD_DISCOUNT_RATE"
"10249","5%","APPLY_OLD_DISCOUNT_RATE"
"10525","5%","APPLY_OLD_DISCOUNT_RATE"
"10470","0%","APPLY_OLD_DISCOUNT_RATE"
"10555","0%","APPLY_OLD_DISCOUNT_RATE"
"10300","5%","APPLY_OLD_DISCOUNT_RATE"
"10562","5%","APPLY_OLD_DISCOUNT_RATE"
"10431","0%","APPLY_OLD_DISCOUNT_RATE"
"10461","5%","APPLY_OLD_DISCOUNT_RATE"
"10823","0%","APPLY_OLD_DISCOUNT_RATE"
"10668","5%","APPLY_OLD_DISCOUNT_RATE"
"10783","0%","APPLY_OLD_DISCOUNT_RATE"
"10730","0%","APPLY_OLD_DISCOUNT_RATE"
"10693","5%","APPLY_OLD_DISCOUNT_RATE"
"10532","5%","APPLY_OLD_DISCOUNT_RATE"
"10921","5%","APPLY_OLD_DISCOUNT_RATE"
"10890","5%","APPLY_OLD_DISCOUNT_RATE"
"10669","5%","APPLY_OLD_DISCOUNT_RATE"
"10621","0%","APPLY_OLD_DISCOUNT_RATE"
"10598","0%","APPLY_OLD_DISCOUNT_RATE"
"10279","5%","APPLY_OLD_DISCOUNT_RATE"
"10902","5%","APPLY_OLD_DISCOUNT_RATE"
"10676","0%","APPLY_OLD_DISCOUNT_RATE"
"10404","5%","APPLY_OLD_DISCOUNT_RATE"
"10831","5%","APPLY_OLD_DISCOUNT_RATE"
"10854","0%","APPLY_OLD_DISCOUNT_RATE"
"10703","0%","APPLY_OLD_DISCOUNT_RATE"
"10420","0%","APPLY_OLD_DISCOUNT_RATE"
"10860","0%","APPLY_OLD_DISCOUNT_RATE"
"10711","10%","APPLY_OLD_DISCOUNT_RATE"
"10643","5%","APPLY_OLD_DISCOUNT_RATE"
"10735","0%","APPLY_OLD_DISCOUNT_RATE"
"10277","5%","APPLY_OLD_DISCOUNT_RATE"
"10450","5%","APPLY_OLD_DISCOUNT_RATE"
"10344","10%","APPLY_OLD_DISCOUNT_RATE"
"11074","0%","APPLY_NEW_DISCOUNT_RATE"
"10914","5%","APPLY_OLD_DISCOUNT_RATE"
"10672","10%","APPLY_OLD_DISCOUNT_RATE"
"11045","5%","APPLY_NEW_DISCOUNT_RATE"
"10819","0%","APPLY_OLD_DISCOUNT_RATE"
"10293","5%","APPLY_OLD_DISCOUNT_RATE"
"10758","5%","APPLY_OLD_DISCOUNT_RATE"
"10485","5%","APPLY_OLD_DISCOUNT_RATE"
"10815","0%","APPLY_OLD_DISCOUNT_RATE"
"10829","5%","APPLY_OLD_DISCOUNT_RATE"
"10281","0%","APPLY_OLD_DISCOUNT_RATE"
"10385","0%","APPLY_OLD_DISCOUNT_RATE"
"10620","0%","APPLY_OLD_DISCOUNT_RATE"
"11061","5%","APPLY_NEW_DISCOUNT_RATE"
"10310","0%","APPLY_OLD_DISCOUNT_RATE"
"11033","5%","APPLY_NEW_DISCOUNT_RATE"
"10984","0%","APPLY_OLD_DISCOUNT_RATE"
"11033","10%","APPLY_NEW_DISCOUNT_RATE"
"10798","0%","APPLY_OLD_DISCOUNT_RATE"
"11047","5%","APPLY_NEW_DISCOUNT_RATE"
"10574","0%","APPLY_OLD_DISCOUNT_RATE"
"10559","5%","APPLY_OLD_DISCOUNT_RATE"
"10755","5%","APPLY_OLD_DISCOUNT_RATE"
"10719","5%","APPLY_OLD_DISCOUNT_RATE"
"11051","0%","APPLY_NEW_DISCOUNT_RATE"
"10622","0%","APPLY_OLD_DISCOUNT_RATE"
"10741","0%","APPLY_OLD_DISCOUNT_RATE"
"10522","5%","APPLY_OLD_DISCOUNT_RATE"
"10727","0%","APPLY_OLD_DISCOUNT_RATE"
"10474","0%","APPLY_OLD_DISCOUNT_RATE"
"10615","0%","APPLY_OLD_DISCOUNT_RATE"
"10583","0%","APPLY_OLD_DISCOUNT_RATE"
"10487","5%","APPLY_OLD_DISCOUNT_RATE"
"10881","0%","APPLY_OLD_DISCOUNT_RATE"
"10589","0%","APPLY_OLD_DISCOUNT_RATE"
"10667","0%","APPLY_OLD_DISCOUNT_RATE"
"10395","0%","APPLY_OLD_DISCOUNT_RATE"
"10720","0%","APPLY_OLD_DISCOUNT_RATE"
"11037","0%","APPLY_NEW_DISCOUNT_RATE"
"10510","10%","APPLY_OLD_DISCOUNT_RATE"
"10504","0%","APPLY_OLD_DISCOUNT_RATE"
"10646","0%","APPLY_OLD_DISCOUNT_RATE"
"10850","0%","APPLY_OLD_DISCOUNT_RATE"
"10457","5%","APPLY_OLD_DISCOUNT_RATE"
"10889","5%","APPLY_OLD_DISCOUNT_RATE"
"10262","0%","APPLY_OLD_DISCOUNT_RATE"
"10660","5%","APPLY_OLD_DISCOUNT_RATE"
"10387","5%","APPLY_OLD_DISCOUNT_RATE"
"10880","0%","APPLY_OLD_DISCOUNT_RATE"
"10858","0%","APPLY_OLD_DISCOUNT_RATE"
"10931","5%","APPLY_OLD_DISCOUNT_RATE"
"10657","5%","APPLY_OLD_DISCOUNT_RATE"
"10533","0%","APPLY_OLD_DISCOUNT_RATE"
"10933","0%","APPLY_OLD_DISCOUNT_RATE"
"10482","0%","APPLY_OLD_DISCOUNT_RATE"
"10993","0%","APPLY_OLD_DISCOUNT_RATE"
"10946","5%","APPLY_OLD_DISCOUNT_RATE"
"10389","0%","APPLY_OLD_DISCOUNT_RATE"
"10557","5%","APPLY_OLD_DISCOUNT_RATE"
"10370","5%","APPLY_OLD_DISCOUNT_RATE"
"10894","0%","APPLY_OLD_DISCOUNT_RATE"
"10360","5%","APPLY_OLD_DISCOUNT_RATE"
"10816","5%","APPLY_OLD_DISCOUNT_RATE"
"10379","5%","APPLY_OLD_DISCOUNT_RATE"
"10498","0%","APPLY_OLD_DISCOUNT_RATE"
"10272","0%","APPLY_OLD_DISCOUNT_RATE"
"10437","0%","APPLY_OLD_DISCOUNT_RATE"
"10339","10%","APPLY_OLD_DISCOUNT_RATE"
"10696","5%","APPLY_OLD_DISCOUNT_RATE"
"10511","5%","APPLY_OLD_DISCOUNT_RATE"
"10452","5%","APPLY_OLD_DISCOUNT_RATE"
"10370","0%","APPLY_OLD_DISCOUNT_RATE"
"10411","5%","APPLY_OLD_DISCOUNT_RATE"
"10733","5%","APPLY_OLD_DISCOUNT_RATE"
"10750","0%","APPLY_OLD_DISCOUNT_RATE"
"10975","5%","APPLY_OLD_DISCOUNT_RATE"
"10771","0%","APPLY_OLD_DISCOUNT_RATE"
"10869","5%","APPLY_OLD_DISCOUNT_RATE"
"10352","0%","APPLY_OLD_DISCOUNT_RATE"
"10655","0%","APPLY_OLD_DISCOUNT_RATE"
"10543","5%","APPLY_OLD_DISCOUNT_RATE"
"10994","5%","APPLY_OLD_DISCOUNT_RATE"
"10978","0%","APPLY_OLD_DISCOUNT_RATE"
"10874","0%","APPLY_OLD_DISCOUNT_RATE"
"10795","5%","APPLY_OLD_DISCOUNT_RATE"
"10520","0%","APPLY_OLD_DISCOUNT_RATE"
"10301","5%","APPLY_OLD_DISCOUNT_RATE"
"10742","0%","APPLY_OLD_DISCOUNT_RATE"
"11058","5%","APPLY_NEW_DISCOUNT_RATE"
"10799","0%","APPLY_OLD_DISCOUNT_RATE"
"10406","0%","APPLY_OLD_DISCOUNT_RATE"
"10474","5%","APPLY_OLD_DISCOUNT_RATE"
"10585","0%","APPLY_OLD_DISCOUNT_RATE"
"10632","0%","APPLY_OLD_DISCOUNT_RATE"
"10578","0%","APPLY_OLD_DISCOUNT_RATE"
"10625","0%","APPLY_OLD_DISCOUNT_RATE"
"11046","0%","APPLY_NEW_DISCOUNT_RATE"
"10807","0%","APPLY_OLD_DISCOUNT_RATE"
"10853","5%","APPLY_OLD_DISCOUNT_RATE"
"10427","5%","APPLY_OLD_DISCOUNT_RATE"
"10934","5%","APPLY_OLD_DISCOUNT_RATE"
"10796","0%","APPLY_OLD_DISCOUNT_RATE"
"10763","0%","APPLY_OLD_DISCOUNT_RATE"
"10605","10%","APPLY_OLD_DISCOUNT_RATE"
"10989","0%","APPLY_OLD_DISCOUNT_RATE"
"10569","5%","APPLY_OLD_DISCOUNT_RATE"
"10805","10%","APPLY_OLD_DISCOUNT_RATE"
"10542","0%","APPLY_OLD_DISCOUNT_RATE"
